time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-15 14:13:49.917257, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 3.0892621927746844, -16.8376080664939, 158, 32.541769801980195, 0.9673576633659391, 1.7097330799670953, 0.08605158072324709, 2.1365702108855484, 2.4373327608590802, 1.1248984761757426
2019-08-15 14:15:19.918345, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 30, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.5865063614997297, -16.928142120269086, 134, 32.054455445544555, 0.9725013518155695, 1.6999826293958116, 0.07608776514101724, 2.198651531118475, 2.3864921075480323, 1.5282187886757426
2019-08-15 14:17:14.709555, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 40, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.8771076678024956, -17.14463014058405, 153, 32.66553217821782, 1.025467005406577, 1.708665477453511, 0.07887584166938696, 1.9968724127679216, 2.4953262466087898, 1.5363600324876239
2019-08-15 14:19:27.126769, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 50, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.9948087449589433, -16.024063589625513, 151, 31.598081683168317, 1.0216904219202447, 1.7199368648690478, 0.06666361003559891, 2.2643503624957626, 2.433740932437003, 1.2628210086633664
2019-08-15 14:21:51.759150, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 60, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.608710297539788, -17.02832286249584, 159, 32.84344059405941, 0.9888794008836159, 1.7134229969506132, 0.07182522173573797, 5.216523817759289, 2.3684542170540426, 1.1978409266707921
2019-08-15 14:24:35.686383, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 70, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.5895512154781786, -16.673237700427205, 154, 32.06219059405941, 0.9880942748804266, 1.709612780607091, 0.0781712682246418, 2.448602888647024, 2.3402642114873835, 1.310590385210396
2019-08-15 14:27:32.177633, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 80, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.7451841564035275, -17.14848473912548, 161, 32.64232673267327, 1.000810794808003, 1.7052646552622632, 0.06140772391558456, 2.438982558310885, 2.3601691344506976, 1.2672542156559405
2019-08-15 14:30:43.907555, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 90, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.513192845840291, -17.18027335784338, 155, 32.48762376237624, 0.9962871601060642, 1.7120285843825944, 0.0789137068429316, 2.257954369039759, 2.460720452319238, 1.5086198561262376
2019-08-15 14:34:12.452282, 128, 0.7, 24, 32, 9, 1, 0.01, 1e-05, 7.154, 1.0, 0.001, 100, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, mi_privatizer, 2.6992596006432983, -16.75550672630487, 163, 32.56497524752475, 0.9637297104772423, 1.7143758934744315, 0.06735943931264092, 2.4027273738531734, 2.405871260379017, 1.5106406636757426
time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, CODEBOOK_SIZE, UTILITY_CONSTRAINT, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, count_failed, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
