time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error,
2019-05-13 21:28:41.734209,128,0.8,24,32,9,2,0.1,0.00001,4,0.3,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.2102435439,0.3231736106,93.359375,0.0380532442,0.1992441354,0.0366368327,0.089519741,0.0933826019,0.6530761719,
2019-05-13 21:34:16.619941,128,0.8,24,32,9,2,0.1,0.00001,4,0.4,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.2949075395,0.3239228451,87.109375,0.0451238093,0.275080234,0.0272141089,0.1550572577,0.1420702442,0.5366210938,
2019-05-13 21:39:32.890991,128,0.8,24,32,9,2,0.1,0.00001,4,0.5,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.4529006889,0.8941033535,88.28125,0.0593198379,0.3235777711,0.0842493278,0.2480246528,0.2684774959,0.7045898438,
2019-05-13 21:44:45.268412,128,0.8,24,32,9,2,0.1,0.00001,4,0.6,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.6064031493,1.2780331754,78.515625,0.0925300575,0.4956655635,0.0624482575,0.3550145119,0.3528746556,1.9138183594,
2019-05-13 21:49:41.054766,128,0.8,24,32,9,2,0.1,0.00001,4,0.7,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.827065309,1.880170663,78.90625,0.1530411727,0.5326506071,0.1482451658,0.4848010851,0.5481424147,0.5625,
2019-05-13 21:54:52.403772,128,0.8,24,32,9,2,0.1,0.00001,4,0.8,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.8920613154,1.5461376055,71.875,0.1632070088,0.7974399514,0.2417730257,0.6423005044,0.6309763931,1.4790039063,
2019-05-13 21:59:38.876993,128,0.8,24,32,9,2,0.1,0.00001,4,0.9,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.8230898289,2.1369625247,67.578125,0.1944876241,0.6940132125,0.0679213318,0.8398343653,0.873769569,0.8779296875,
2019-05-13 22:05:18.958316,128,0.8,24,32,9,2,0.1,0.00001,4,1,0.9,1,1,1,1,1,1,2,4,3,3, noise_privatizer,0.9220567989,2.7343373762,63.671875,0.2409332559,0.8215606737,0.0140636808,0.9874154623,1.0427566435,2.0251464844,
2019-05-13 23:19:45.738262,128,0.8,24,32,9,1,0.01,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8405464435,5032707.01195934,29.296875,1.0422438336,1.6656437652,3747.7340089084,2960742.5551779,2711354.70067856,0.9733886719,
2019-05-13 23:28:45.773886,128,0.8,24,32,9,1,0.1,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8231727662,91932.5657850527,32.8125,0.8263989017,1.7495493777,64.8630156967,45757.8184048422,46619.5262052574,1.9074707031,
2019-05-13 23:34:05.909734,128,0.8,24,32,9,1,1,0.00001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8948843636,1174.1757183671,26.953125,1.0342947494,1.7324788669,0.1448532388,704.8233013552,735.3203822231,2.0207519531,
2019-05-13 23:39:03.482207,128,0.8,24,32,9,1,1,1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,0.0489894776,0.0037572104,99.21875,0.0039547987,0.0298259404,0.0009172832,0.301089148,0.0014546786,0.994140625,
2019-05-13 23:42:58.899818,128,0.8,24,32,9,1,0.1,0.0001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.511712663,59507.9912708898,32.03125,0.8447150266,1.7540873746,3.6657938329,29206.8966276032,31480.2830915244,2.0498046875,
2019-05-14 11:11:57.728877,128,0.8,24,32,9,1,0.2,0.0001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.5018741144,15836.350967736,30.46875,1.1804443421,1.7240970496,2.9994739553,8834.8583665142,8820.0236692399,1.0932617188,
2019-05-14 13:26:40.193196,128,0.8,24,32,9,1,0.01,0.0001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.8502520989,2554147.05337421,34.375,0.8945735788,1.6814759512,1104.1194681839,1488828.70615908,1353795.74419346,1.0134277344,
2019-05-14 13:29:46.282355,128,0.8,24,32,9,1,1,0.0001,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,2.6819636941,932.9880785353,30.078125,1.0439386801,1.708186382,3.1084852852,526.1410674402,512.1074875957,1.3972167969,
2019-05-14 13:35:14.922698,128,0.8,24,32,9,1,0.1,1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,0.042070081,0.0362774917,100,0.0030482733,0.0118462775,0.0002552023,0.1284257623,0.008691148,0.5493164063,
2019-05-14 13:38:17.963057,128,0.8,24,32,9,1,0.01,1,7,0,0.9,1,1,1,1,1,1,2,4,3,3, dp_privatizer,0.0276934008,0.0004682262,98.828125,0.0032128463,0.0326341534,0.0016378556,0.1206687281,0.0010836874,0.111328125,
